the: 这/那
luckily: 幸运地
sincere: 诚实的
roommate: 住在同室的人
demise: 崩
enrich: 使富足
chant: 圣歌
dismantle: 拆除...的设备
overwhelmingly: 压倒性地
plainly: 清楚地
narrowly: 狭窄地
hesitation: 犹豫
tout: 招徕顾客
crater: 火山口
jersey: 运动衫
pamphlet: 小册子
clown: 小丑
loaf: 一条面包
scout: 守候
sow: 母猪
speciality: 专长
wrestling: 摔跤
suitably: 合适地
twilight: 暮光
adolescence: 青春期
meaningless: 无意义的
comprehend: 理解
secrecy: 秘密
unlock: 开...的锁
imaging: 成象
prosperous: 成功的
squirrel: 松鼠
preferable: 更可取的
plight: 困境
bleeding: 出血
exposed: 暴露的
plough: 犁
responsive: 回答的
pathetic: 悲哀的
lurk: 潜伏
inclination: 倾向
deceive: 欺骗
loosely: 松弛地
accidental: 意外的
evacuate: 疏散
wreck: 失事
descriptive: 描述的
modified: 改良的
lever: 杠杆
squash: 挤压
clearing: 清扫
famine: 饥荒
instability: 不安定
legion: 军团
ignorant: 无知识的
relocate: 重新安置
affiliate: 使紧密联系
elusive: 难懂的
immensely: 无限地
dodge: 避开
energetic: 精力充沛的
bureaucrat: 官僚作风的人
cosy: 温暖舒适的
claw: 爪
susceptible: 易受影响的
frost: 霜
marvelous: 令人惊异的
projected: 投影的
mercury: 水银
skepticism: 怀疑论
caring: 有同情心的
incomplete: 不完全的
acknowledgement: 承认
laborer: 体力劳动者
immunity: 免疫
planetary: 行星的
speculative: 思索性的
saw: 锯子
taliban: 塔利班
chess: 国际象棋
formality: 礼节
endeavour: 努力
dedication: 奉献
tornado: 旋风
filing: 锉
wholesale: 批发
camel: 骆驼
sinister: 不吉利的
heck: 真见鬼
declining: 倾斜的
diversion: 转移
cuff: 袖口
shipment: 装船
certified: 证明合格的
internationally: 国际性地
sperm: 精液
farewell: 辞别
sedan: 轿车
accompanying: 随同的
apartheid: 种族隔离
bitterness: 苦味
withstand: 抵住
earring: 耳环
belgian: 比利时人
irrigation: 灌溉
unstable: 不稳定的
scepticism: 怀疑论
extinction: 消失
rein: 缰绳
crest: 冠
forgiveness: 宽恕
helper: 帮忙者
cabbage: 卷心菜
slack: 松弛
suffice: 足够
impetus: 动力
lumber: 木材
harmless: 无害处的
glossy: 平滑的
societal: 社会的
gloomy: 抑沉的
prevalent: 普遍的
benign: 善良的
favoured: 受到优待的
climax: 高潮
systematically: 有系统地
selfish: 自私的
kidnap: 绑架
renowned: 有名的
imitation: 模仿
harden: 使变硬
windshield: 挡风玻璃
rugged: 高低不平的
polished: 擦亮的
preschool: 就学前的
apt: 有...倾向的
earnest: 定金
kindness: 仁慈
hurl: 用力的投掷
grievance: 委屈
optimal: 最佳的
discontent: 不满
uneven: 不平坦的
canned: 罐装的
preclude: 预先排除
irritation: 刺激
staple: 主要产物
annoyed: 恼怒的
plaque: 匾
autobiography: 自传
superstar: 超级明星
stagger: 蹒跚
sleek: 光滑的
realisation: 实现
intensely: 强烈地
deduction: 减除
irregular: 不规则物
intended: 有意的
whiskey: 威士忌酒
dune: 沙丘
grilled: 烤的
hollow: 洞
halve: 二等分
rinse: 清洗
alas: 唉
interpersonal: 人与人之间的
schoolboy: 男学生
lavatory: 洗脸盆
coarse: 粗糙的
inconsistent: 不一致的
chiefly: 主要地
sunglasses: 太阳镜
appealing: 有感染力的
hare: 野兔
relentless: 无情的
donkey: 驴子
tester: 考试人
crumble: 粉碎
vampire: 吸血鬼
canopy: 天篷
certify: 证明
impatient: 不耐烦的
merchandise: 商品
oriental: 东方人
periodically: 定期
gypsy: 吉卜赛人
negotiator: 磋商者
maternal: 母亲的
deception: 欺骗
herald: 使者
massage: 按摩
loneliness: 寂寞
workman: 工人
blunt: 钝的
incorrect: 不正确的
excel: 胜过
axe: 斧
fungus: 真菌
accidentally: 偶然地
raising: 起油
astronomical: 天文学的
graze: 吃草
authoritarian: 独裁的
cautiously: 慎重地
hue: 样子
triple: 三倍数
compass: 指南针
beginner: 初学者
outraged: 义愤填膺的
disparity: 不一致
deepest: 深的
spacious: 广大的
canteen: 水壶
intercept: 截取
postal: 邮政的
severity: 严格
acceleration: 加速
simplify: 单一化
cafeteria: 自助餐厅
ineffective: 无效的
dire: 可怕的
restless: 不安静的
celebrated: 驰名的
honorable: 值得尊敬的
painfully: 痛苦地
filthy: 污秽的
pave: 铺设
contingency: 偶然性
fry: 油炸食物
glide: 滑动
radius: 半径
infectious: 有传染性的
peg: 钉
hymn: 赞美诗
nervously: 焦急地
infrared: 红外线的
novice: 新手
plaza: 广场
activism: 激进主义
ernest: 欧内斯特
tactical: 战术的
qualitative: 性质的
saucepan: 深平底锅
awe: 敬畏
commercially: 商业上
eagerly: 渴望
informant: 提供消息者
contradictory: 反驳的
myriad: 无数
necessitate: 迫使
residual: 残渣的
metro: 地铁
eden: 伊甸园
folder: 文件夹
licensed: 得到许可的
saut: <法>n.跳[字面意义：leap]
crap: 废物
equate: 使相等
stew: 炖
deterioration: 恶化
thy: 你的
antenna: 天线
maternity: 母性
subcommittee: 小组委员会
shuffle: 拖着脚走
flank: 侧面
sneakers: 胶底运动鞋
blaze: 火焰
someplace: 在某处
nylon: 尼龙
abusive: 恶言谩骂的
eleventh: 第十一
sovereign: 元首
airborne: 升空的
groove: 凹槽
harass: 使困扰
cannon: 大炮
ethic: 道德规范
purity: 纯净
embarrass: 使困窘
endanger: 危及
oneself: 自己
grader: 把东西分类别的人/机器
billboard: 广告牌
daytime: 白天
paralyze: 使瘫痪
pastoral: 牧歌
designated: 特指的
markedly: 显著地
fasten: 拴紧
thermal: 热的
precinct: 区域
navigation: 航行
estuary: 河口
underway: 航行中的
napkin: 餐巾
scarlet: 猩红色
luggage: 行李
footpath: 步道
disbelief: 不信
stressful: 着重
prophet: 预言者
daft: 愚笨的
unload: 卸货
dental: 牙齿的
civilisation: 文明
cockpit: 驾驶员座舱
pornography: 色情描写
obesity: 肥胖
affluent: 丰富的
cozy: 舒适的
terminology: 术语
exacerbate: 使恶化
milky: 乳状的
schooling: 学校教育
innings: 局
kensington: 肯辛通
tangible: 可触知的东西
feat: 壮举
burns: 络腮胡子
militant: 好战的
dwell: 居住
seam: 缝合线
naughty: 顽皮的
fifteenth: 第十五
hardy: 难的
writ: 令状
spinach: 菠菜
defective: 有缺陷的
mortar: 臼
deterrent: 制止的
dialect: 方言
huddle: 杂乱一团
attic: 阁楼
infer: 推论出
constellation: 星座
highland: 高地
beetle: 甲虫
moustache: 髭
populate: 使人口聚居在...中
maneuver: 演习
probation: 鉴定
masculine: 阳性
fort: 堡垒
smack: 风味
turk: 土耳其人
registrar: 记录者
civilized: 文明的
jumper: 跳跃者
granny: 奶奶
subscriber: 签署者
pirate: 海盗
gee: 马
vice: 恶习
baptist: 施洗礼者
jug: 水壶
dusk: 薄暮
warren: 养兔场
sweetheart: 心上人
platter: 大浅盘
purchasing: 采购的
imposition: 征收
carlisle: 卡莱尔
lingering: 拖延的
berkshire: 巴克夏猪
crumb: 碎屑
allergy: 变应性
reed: 芦苇
provocative: 激发感情的
batter: 连续猛打
burglary: 夜盗行为
dart: 飞镖
warwick: 沃里克
reversal: 翻转
rogers: 罗杰斯
recurrent: 再发生的
wax: 蜡
confidentiality: 机密性
sob: 啜泣
dane: 丹麦人
levy: 税款
felony: 重罪
retiree: 退休人员
graceful: 优美的
battalion: 营
freezer: 冰库
induction: 归纳法
dickens: 魔鬼
delta: 三角洲
adversary: 敌手
worcester: 伍斯特
orchard: 果园
subsidize: 补助
viii: 罗马数字8
fingertip: 指尖
maximise: 把...增加到最大限度
exemplify: 例证
shovel: 铲
finland: 芬兰
puppet: 傀儡
endowment: 捐助
filling: 充填物
intricate: 复杂的
gunman: 枪手
claimant: 提出要求者
scheduled: 预定的
chuck: 抚弄
chamberlain: 内侍
explosives: 爆炸物
franc: 法郎
construe: 解释
fingerprint: 指纹
seaman: 船员
renovation: 革新
unified: 统一的
handbag: 手提包
mural: 壁的
burger: 汉堡包
glue: 胶
chick: 小鸡
excise: 消费税
cumulative: 累积的
burglar: 窃贼
sharon: 莎伦
sideline: 副业
adjourn: 休会
visibility: 可见性
diaper: 尿布
microscope: 显微镜
cooker: 炊事用具
parasite: 寄生生物
theatrical: 剧场的
nancy: 女性化的男人
turbine: 涡轮机
bedford: 贝德福德
frenzy: 疯狂
radiator: 暖气装置
shining: 光亮的
timothy: 梯牧草
betrayal: 背叛
latent: 潜伏性的
baggage: 行李
condo: 共同统治
veto: 否决权
cyprus: 塞浦路斯
shack: 陋屋
showcase: 陈列橱
foliage: 树叶
focal: 焦点的
archaeology: 考古学
insurgent: 谋叛的
dale: 小谷
censorship: 检查制度
setback: 挫折
housework: 家事
repression: 抑制
veil: 面纱
traumatic: 外伤的
halifax: 哈里法克斯（财富500强公司之一
renewable: 可更新的
saloon: 大厅
sandra: 桑德拉
tyne: 泰恩河[英国英格兰北部]
gentry: 贵族们
poole: 普尔
pounding: 重击
volcanic: 火山的
crusade: 改革运动
o: 啊
pakistani: 巴基斯坦的
deposition: 免职
numerical: 数字的
gill: 鳃
sunrise: 日出
extraordinarily: 非凡
scripture: 圣经
competency: 足以使人过舒适生活的富裕收入
severn: 塞汶河
rupert: 鲁珀特
torso: 躯干
invoice: 发票
nobility: 贵族
stump: 残株
openness: 公开
penal: 有关处罚的
henderson: 亨德森
um: 嗯
fuzzy: 有微毛的
webb: 韦勃
reconstruct: 重建
ginger: 姜
morrison: 莫里森
anxiously: 忧虑地
comb: 头梳
elimination: 除去
downing: 唐宁
pancake: 薄烤饼
czech: 捷克人
nanny: 保姆
khan: 可汗
whoa: 惊叹声
friction: 摩擦
tate: 塔特
segregation: 隔离
transitional: 变迁的
lambert: 兰伯特
aerial: 空中的
flicker: 闪烁
gavin: 加文
cairo: 开罗
voluntarily: 自愿地
knowledgeable: 聪明的
lateral: 侧部
cardinal: 红衣主教
forensic: 辩论的
basil: 罗勒属植物
reorganisation: 重组
unleash: 解开...的皮带
offshore: 海面的
pollutant: 污染物质
saunders: 檀木
faintly: 微弱地
madonna: 圣母玛利亚
tottenham: 托特纳姆
examiner: 检查人
implied: 暗指的
hudson: 哈得孙河
vauxhall: 沃克斯豪尔
lanka: 兰卡
cohort: 一群
norton: 诺顿
dine: 用正餐
roland: 罗兰
dispatch: 派遣
procedural: 程序上的
mare: 母马
fascism: 法西斯主义
hatch: 孵化
cuba: 古巴
sutherland: 萨瑟兰郡
iris: 虹膜
prostate: 前列腺的
griffiths: 格里菲思
gradient: 倾斜度
bowling: 保龄球戏
lipstick: 口红
malaysia: 马来西亚
seizure: 捕获
curtis: 柯蒂斯
lawson: 劳森
raft: 筏
upland: 山地
arthritis: 关节炎
rebecca: 丽贝卡（女子名
shifting: 移位
genome: 基因组
watercolour: 水彩画
abnormality: 反常
cram: 塞满
diarrhoea: 腹泻
nutritional: 营养的
walsh: 沃尔什
spike: 长钉
swansea: 斯温西
pauline: 保罗的
feminism: 女权主义
palette: 调色板
lament: 悲叹
vic: 飞机V字队形编队
negatively: 否定地
zimbabwe: 津巴布韦
philippines: 菲律宾
marxism: 马克思主义
auntie: 阿姨
hmm: 隐马尔可夫模型
ignite: 点燃
heather: 石南花
revolve: 旋转
lang: 语言
afghanistan: 阿富汗
alternate: 交替的
paisley: 佩斯利涡纹旋花呢
spa: 矿泉
bully: 欺凌弱小者
diocese: 主教教区
bracelet: 手镯
contaminate: 弄污
geology: 地质学
piper: 吹笛者
vowel: 元音
startling: 令人吃惊的
veterinary: 兽医的
alumnus: 男毕业生
inspectorate: 检查员
chaotic: 混乱的
unification: 统一
mutant: 突变体
arbitration: 仲裁
robson: 罗布森街
libya: 利比亚
listening: 听
kathleen: 凯思琳（女子名
corpus: 主体
merry: 快乐的
colchester: 科尔切斯特
awhile: 片刻
marc: 榨渣
gloria: 地质用远程斜向[指示]声纳
sober: 未醉的
kenny: 肯尼
cf: 克里斯马斯因子
morse: 摩尔斯电码
monsieur: 先生
sleepy: 困乏的
strathclyde: 斯特拉思克莱德区[英国苏格兰行政区名]
nitrate: 硝酸盐
peek: 偷看
camping: 野营
orkney: 奥克尼群岛
clasp: 扣子
youthful: 年轻的
thoughtfully: 沉思地
flatten: 使...不活跃
marco: 马尔科
glowing: 白热的
quinn: 奎恩
commando: 突击队
nap: 小睡
gareth: 加雷思(园桌骑士之一
roadside: 路旁
clone: 无性系
impair: 损害
dementia: 痴呆
hazel: 榛子
auckland: 奥克兰
razor: 剃刀
frantic: 狂乱的
harrogate: 哈罗盖特
beirut: 贝鲁特
charcoal: 木炭
font: 字体
gandhi: 甘地
intrinsic: 本质的
charlton: 查尔顿
starve: 饿死
rainforest: 雨林
reclaim: 开垦
frankie: 弗兰基
sewer: 下水道
catcher: 捕手
jessica: 杰西卡
qc: 质量管理
distributed: 分布式的
fertile: 可繁殖的
inflammatory: 激动的
zambia: 赞比亚
hepatitis: 肝炎
wield: 挥舞
melanie: 梅勒妮
elf: 小精灵
timely: 及时的
daunting: 使人畏缩的
retrieval: 取回
disgust: 厌恶
wigan: 本色平纹棉布
sa: 救世军
southwestern: 西南的
graphical: 图的
binary: 由两部分组成的
yogurt: 酸乳酪
alain: 阿兰
doom: 厄运
graeme: 格雷姆
larva: 幼虫
tentacle: 触须
hurd: 胡日德乐队
mansell: 人名
rancher: 大农场经营者
northeastern: 东北方的
sotheby: 苏富比
niece: 侄女
singh: 辛格
beta: 希腊字母表的第二个字母
gi: 军用的
gnp: 国民生产总值
rainy: 下雨的
doreen: 多琳（女子名
microcomputer: 微电脑
mumble: 喃喃而语
capsule: 胶囊
cambodia: 柬埔寨
respiratory: 呼吸的
insulin: 胰岛素
hamburger: 汉堡
relational: 有关系的
lindsey: 林德赛
serbs: 塞尔维亚人
ramsey: 拉姆齐
appellant: 上诉人
christina: 克里斯蒂娜
branson: 布兰森
readiness: 预备
macintosh: Macintosh计算机
batsman: 击球手
persistence: 固执
liberate: 解放
yer: 你的
gooch: 古氏
rhetorical: 修辞学的
wirral: 威勒尔半岛
reg: 注册表文件
desperation: 绝望
merrill: 美林
belinda: 贝琳达
anonymity: 匿名
assay: 试验
icl: 国际计算机-
interstate: 州际的
matilda: <澳口>行囊
auguste: 笨拙型马戏团小丑
liner: 班机
morrissey: 莫里西
identifier: 检验人
topple: 推翻
mcallister: 人名
ellie: 埃莉
cnaa: 全国学术奖理事会
reinforcement: 加强
cranston: 克兰斯敦
dana: 美国德纳
bernice: 柏妮丝
vastly: 广大地
almond: 杏仁
gmt: 格林威治平均时
pascoe: 人名
announcer: 节目报告员
erika: 埃里卡
duodenal: 十二指肠的
mips: 每秒百万条指令数
reminiscent: 回忆的
wh: 瓦特小时
mucosal: 粘膜的
validate: 使有效
cooked: 精疲力竭的
sparc: SUN公司的工作站系统
dime: 10分硬币
spr: 心灵研究学会
higher: 上扬
undercover: 秘密从事的
orphan: 孤儿
tempting: 诱惑人的
founding: 铸造
needless: 不需要的
idle: 懒惰的
persona: 人
reel: 卷轴
recollection: 记忆
preview: 事先查看
alleviate: 减轻
plank: 厚木板
disregard: 忽视
protagonist: 主人公
collectively: 集合
comedian: 喜剧演员
detach: 使分离
wrongly: 错误地
hinder: 后面的
sprawling: 蔓生的
crunch: 嘎吱嘎吱的咬嚼
taking: 取得
mock: 嘲笑
escalate: 逐步扩大
sharpen: 使尖锐
cruiser: 巡洋舰
pleasing: 令人喜爱的
indifferent: 漠不关心的
scrub: 用力擦洗
detached: 超然的
foe: 仇敌
stubborn: 顽固的
rubble: 粗石
bathe: 沐浴
nearer: 较近
tentative: 试验
alarming: 使人惊恐的
avert: 转开
cavity: 洞
conjunction: 连接词
pointless: 不尖的
novelty: 新奇
outdoors: 户外
genocide: 种族灭绝
continual: 持续不断的
troubling: 浊度
conjure: 念咒文召唤
crave: 渴望
redefine: 重新定义
seaside: 海边的
packed: 充满...的
outskirts: 近郊
mend: 改进
catastrophic: 悲惨的
unrelated: 无关的
blueprint: 蓝图
damaged: 被损坏的
animation: 活泼
mildly: 柔和地
digest: 文摘
nude: 裸的
shorten: 弄短
vicinity: 附近
hiring: 租用
unsure: 不肯定的
reappear: 再出现
runoff: 径流
menace: 威胁
breadth: 宽度
professionally: 专业地
accustom: 使习惯于
empathy: 移情作用
unpopular: 不得人心的
ruthless: 无情的
collide: 碰撞
rehearse: 预演
reap: 收割
fume: 臭气
mastery: 征服
commend: 嘉奖
astonished: 吃惊的
preventive: 预防的
arrogant: 自大的
said: 上述的
facade: 建筑物的正面
vigour: 精力
bypass: 旁路
reassurance: 安心
creamy: 含乳脂的
persuasion: 说服
generosity: 慷慨
playwright: 剧作家
conveniently: 方便
binoculars: 双目镜
phd: 哲学博士学位
stimulating: 刺激的
vent: 排气口
eclipse: 日食
inadequacy: 不适当
fulfilment: 履行
loading: 装载
consolation: 安慰
beware: 小心
tier: 排
peril: 危险
refined: 精炼的
midday: 正午
paste: 面团
bra: 奶罩
bruise: 青肿
finishing: 最后的
stifle: 使窒息
wade: 跋涉
mediterranean: 地中海
savage: 未开化的
chile: 智利
poultry: 家禽
rewrite: 重写
bankrupt: 破产者
automaker: <美>汽车制造商
mars: 火星
conserve: 蜜饯
sitcom: 情景喜剧
apprenticeship: 学徒身分
patriotic: 爱国的
cracker: 饼干
convicted: 宣判有罪
unmarried: 未婚的
impeachment: 控告
advertiser: 做广告者
genetics: 遗传学
seriousness: 严肃
demanding: 要求高的
perpetuate: 使永存
dictatorship: 独裁者之职位
questioning: 审问
gosh: 唉
ornament: 装饰
payoff: 发工资
commanding: 指挥的
heterosexual: 异性的
lessen: 减少
guaranteed: 有保证的
railing: 扶手
warmly: 亲切地
expectancy: 期待
lebanese: 黎巴嫩的
relic: 遗物
exhausted: 耗尽的
methodist: 墨守成规者
briefcase: 公事包
typewriter: 打字机
furnishing: 家具
infamous: 无耻的
dilute: 冲淡
brink: 边缘
colouring: 着色
ordeal: 严酷考验
paycheck: 付薪水的支票
reiterate: 反复地说
lining: 衬里
plum: 李子
catholicism: 天主教的信仰
obstruction: 障碍
elevated: 提高的
kidnapping: 绑架
eccentric: 怪人
inherently: 内在地
breakup: 分裂
boiling: 沸腾的
mutually: 互相地
recede: 向后退
abound: 大量存在
dangerously: 危险
scattered: 分散的
linkage: 联合
reconsider: 再考虑
roast: 烤肉
depiction: 描写
discreet: 小心的
careless: 粗心的
plummet: 测深锤
boredom: 厌烦
horrified: 惊骇的
lust: 贪欲
masterpiece: 杰作
maze: 迷宫
logically: 逻辑
watershed: 流域
gem: 珠宝
humiliation: 耻辱
authoritative: 权威性的
pronounced: 发出音的
sheltered: 受庇护的
intrusion: 闯入
demolition: 破坏
implicate: 涉及
multinational: 多国的
obedience: 服从
ashore: 向岸
navajo: 纳瓦霍人
periodic: 周期的
gutter: 排水沟
inning: 一局
outgoing: 外出
snapshot: 快照
adore: 崇拜
literal: 逐字的
slippery: 滑的
infinitely: 无限地
mesh: 网孔
drawback: 缺点
discern: 辨别
proven: prove的过去分词
apprehension: 理解
dove: 鸽子
midlands: 英国中部
solicit: 请求
unpaid: 未付款的
ache: 疼痛
drunken: 酒醉的
anguish: 剧痛
thinly: 薄
nasal: 鼻的
storey: 楼
informed: 见多识广的
dismay: 沮丧
nudge: 用肘轻推
pinch: 捏
trajectory: 轨道
congratulations: 祝贺词
annoy: 使恼怒
deduce: 推论
speedy: 快的
spicy: 香的
observatory: 天文台
uprising: 起义
endurance: 忍耐
indoors: 在户内
comforting: 安慰的
identifiable: 可辨认的
orderly: 有秩序的
intentionally: 故意地
dealings: 来往
quarrel: 吵架
pants: 裤子
recess: 休息
barracks: 兵营
blog: 博客
buildup: 发展
peninsula: 半岛
surf: 海浪
flake: 小薄片
culinary: 厨房的
alcoholic: 酒鬼
dissatisfaction: 不满
thirteenth: 第十三
portuguese: 葡萄牙人
newborn: 婴儿
rounded: 圆形的
saga: 传说
opener: 开...的人
winding: 绕
sliced: 刨切的
explorer: 探险家
degradation: 降格
unrealistic: 不切实际的
indifference: 不重视
relish: 滋味
biodiversity: 生物多样性
preoccupied: 被先占的
fingernail: 手指甲
internally: 内部的
centrally: 在中心
cubic: 立方体的
bum: 游荡者
inefficient: 无效率的
pedal: 踏板
handbook: 手册
frail: 脆弱的
adulthood: 成年
slower: 减慢
autopsy: 验尸
gigantic: 巨人般的
irritate: 激怒
incompatible: 不相容的
repertoire: 全部剧目
scrutinize: 细看
fortress: 城堡
imported: 输入
heathrow: 希思罗机场
iq: 智商
wretched: 可怜的
rethink: 再想
unofficial: 非正式的
psyche: 灵魂
imbalance: 不平衡
rolls: 面包卷
loft: 阁楼
kurdish: 库尔德人的
crate: 板条箱
dynasty: 朝代
uranium: 铀
detachment: 分离
penetration: 穿透
layoff: 临时解雇
disciple: 弟子
lizard: 蜥蜴
coke: 可口可乐
buffet: 自助餐
penis: 阳物
marvel: 奇异事物
times: 时代
tailor: 裁缝
ceramic: 陶瓷的
consciously: 自觉地
undesirable: 不受欢迎的
compassionate: 慈悲的
refreshment: 点心
prominence: 突起
brighten: 变亮
champ: 大声地嚼
industrialist: 企业家
convene: 集合
temperament: 气质
parlour: 客厅
roasted: 烤的
guinea: 几内亚
wrinkle: 皱纹
et: 乙基
psychic: 灵魂的
barley: 大麦
fireworks: 烟火
compute: 计算
handwriting: 笔迹
comprehension: 理解
glamorous: 富有魅力的
aspire: 渴望
theoretically: 理论上
hawaiian: 夏威夷人
fiery: 炽热的
suspended: 悬浮的
aspirin: 阿斯匹林
deserted: 被遗弃的
winston: 温斯顿（姓氏
walnut: 胡桃
munich: 慕尼黑
bluff: 断崖
tracking: 跟踪
racing: 赛马
flare: 闪光
slick: 光滑的
dye: 颜料
nickel: 镍
onstage: 在前台
enhancement: 提高
inscription: 题字
fourteenth: 第十四
geometry: 几何学
lincolnshire: 林肯郡
hog: 猪
broccoli: 花椰菜
resonate: 共鸣
universally: 宇宙
pavilion: 楼阁
overt: 明显的
chemotherapy: 化学疗法
coronation: 加冕礼
knob: 把手
confide: 吐露
helping: 帮助
attribution: 归因
squat: 蹲
wellington: 惠灵顿长靴
hart: 雄赤鹿
fumble: 摸索
judaism: 犹太教
pointer: 指示物
austrian: 奥地利人
cardboard: 薄纸板
affected: 假装的
erotic: 性爱的
glacier: 冰川
simultaneous: 同时的
polling: 选举投票
prescribed: 规定的
picturesque: 生动的
yoga: 瑜珈
extraction: 抽出
abstraction: 抽象化
redemption: 赎回
lobbying: 为了支持或抵制某项特定目标游说
fallen: 堕落的
akin: 同类的
sparkling: 闪闪发光的
estrogen: 雌激素
bartender: 酒保
evaporate: 蒸发
genesis: 发生
succumb: 屈从
hyde: 海德
coating: 涂层
seasoned: 经验丰富的
simulate: 模拟
stature: 身材
recruiting: 招聘
forearm: 前臂
optimum: 最适条件
volleyball: 排球
intrigue: 阴谋
alignment: 队列
cot: 行军床
grenade: 手榴弹
woods: 森林
chestnut: 栗子
wink: 眨眼
anomaly: 不规则
stellar: 星的
hans: 德国人或荷兰人的绰号
incumbent: 现任的
intuition: 直觉
outreach: 超出...的范围
boxer: 拳师
baked: 烘焙的
roundabout: 迂回的
regimen: 养生法
cancellation: 取消
goddamn: 该死的
proceeds: 收益
perpetrator: 作恶者
whine: 哀叫声
fetus: 胎儿
astonishment: 惊异
catalyst: 触媒
extremist: 偏激份子
contour: 轮廓
hamlet: 小村
hairdresser: 美发师
gland: 腺
ordinance: 法令
chronicle: 年代记
doctoral: 博士的
grease: 脂肪
tonic: 补药
episcopal: 主教的
honeymoon: 蜜月
polo: 马球
hawk: 鹰
inward: 内心的
cutter: 裁剪者
commemorate: 纪念
struggling: 努力的
yourselves: 你们自己
silhouette: 黑色半身侧面影
revisit: 再访
jamaica: 牙买加
resonance: 共鸣
paperback: 平装本
sherry: 雪利酒
noodle: 面条
casting: 投掷
deduct: 扣除
moonlight: 月光
tudor: 英国都铎王朝
judith: 朱迪思
portrayal: 描绘
luxembourg: 卢森堡公国
frances: 弗朗西丝
shaky: 震动的
villain: 坏人
durable: 持久的
vapour: 汽
industrialized: 工业化的
mantle: 斗篷
crescent: 新月
capitalize: 以大写字母写
vault: 拱顶
sift: 筛
recommended: 被推荐的
deliberation: 熟虑
wallpaper: 壁纸
despise: 轻视
podium: 墩座
cock: 公鸡
hoop: 箍
ascribe: 归因于
brightness: 光亮
cox: 舵手
martial: 战争的
stunned: 受惊的
pastel: 粉蜡笔
sponge: 海绵
cardiovascular: 心血管的
dropout: 退学学生
flooding: 充溢
vale: 谷
irresponsible: 不负责任的
presenter: 节目主持人
instinctively: 本能地
communion: 共享
jeopardize: 危害
momentarily: 暂时地
neon: 氖
chili: 干辣椒
gilt: 镀金
sprout: 芽
walton: 沃尔顿
spinal: 针的
coil: 线圈
categorize: 分类
edgar: 埃德加
invalid: 病人
functioning: 运行
ragged: 衣衫褴褛的
heighten: 增高
latitude: 纬度
ronald: 罗纳德
pebble: 小圆石
expressive: 表达的
maritime: 海的
moose: 麋
ventilation: 通风
yearn: 渴望
occupied: 已占用的
unseen: 未被看见的
creed: 宗教信条
upheld: uphold的过去式和过去分词
prostitution: 卖淫
ceramics: 制陶术
adorn: 装饰
jelly: 果冻
introductory: 介绍的
unify: 统一
famed: 著名的
apron: 围裙
turnout: 聚集的人群
rabbi: 拉比
rectangular: 成直角的
practicable: 可实行的
twisted: 扭曲的
lager: 贮陈啤酒
pharmacy: 药房
inaugural: 就任的
bedside: 床边
detainee: 被拘留者
austin: 奥斯丁
hindu: 印度教教徒的
qualifying: 限定的
tanker: 坦克手
sensory: 知觉的
shiite: 什叶派教徒
scots: 苏格兰的
wavelength: 波长
guru: 古鲁
cardiac: 心脏病患者
quartet: 四重奏
mast: 桅
spiral: 螺旋形之物
punk: 废物
wed: 与...结婚
lynn: 林恩
paw: 爪
waterfall: 瀑布
whirl: 回旋
flirt: 卖弄风骚的人
norwegian: 挪威人
computerized: 电脑的
stan: 斯坦
frankfurt: 牛肉香肠
plow: 犁
restructure: 更改结构
atrocity: 残暴
insulation: 绝缘
flutter: 摆动
cavalry: 骑兵
competitiveness: 竞争
cooler: 冷却器
pr: 与公众的关系
finn: 芬兰人
brag: 吹牛
stevens: 史蒂文斯
hypothetical: 假设的
ps: 实际顺序
blessed: 神圣的
buzz: 嗡嗡声
attributable: 可归于...的
tortilla: 玉米饼
cecil: 塞西尔
thump: 重打
gin: 杜松子酒
postmodern: 后现代的
garrison: 守备队
ecstasy: 狂喜
familiarity: 熟悉
physiological: 生理学的
carpenter: 木匠
finite: 有限的
lyons: 里昂
canon: 教会法规
souvenir: 纪念品
antiquity: 古老
mercedes: 梅塞德斯
termination: 终止
instalment: 就职
hound: 猎犬
benchmark: 基准程序
lousy: 污秽的
stratum: 层
moses: 摩西
particulars: 细节
sniper: 狙击兵
headlight: 前灯
backlash: 后冲
bakery: 面包店
conditional: 有条件的
cheerfully: 高高兴兴地
intern: 实习生
bolton: 可用螺栓固定的
divorced: 离婚的
housekeeper: 主妇
footballer: 足球员
ratify: 批准
nostalgia: 乡愁
accordance: 一致
coyote: 丛林狼
parachute: 降落伞
mickey: 精神
automated: 自动化的
exquisite: 精致的
immerse: 沉浸
hilton: 希尔顿
petroleum: 石油
infected: 被感染的
peggy: 佩吉
bodyguard: 保镖
underpin: 从下面支承
thug: 恶棍
initiation: 开始
explanatory: 说明的
preheat: 预热
arrears: 逾期债款
entrant: 新会员
mustache: 髭
convent: 女修道会
sierra: 呈齿状起伏的山脉
aura: 气氛
larry: 拉里
sic: 原文如此
marshal: 元帅
dixon: 狄克逊
flap: 飘
cadet: 军官学校学生
feudal: 封建制度的
jaguar: 美洲虎
brooke: 布鲁克
chilling: 冷却
cohen: 科恩
ascent: 上升
woe: 悲哀
marion: 马里恩
ripple: 涟波
cookbook: 食谱
pellet: 颗粒状物
